id,site,league,slate,site_id,name,period,max_entries,max_entrants,cost,prizepool,places_paid,total_entrants,winning_score,mincash_score,startdate,winning_payout,mincash_payout,DateTime,Title,game_cnt,winner_cnt,winner,has_lineups
507849761,draftkings,LOL,36610,88202927,LOL $7.5K mini-MAX [150 Entry Max] (LPL-LCK),7/8/2020,150,17835,0.5,7500.0,4100.0,17835.0,675.98,549.71,1594195200,750.0,1.0,7/8/2020 4:00,(LPL\/LCK),4,1,morozov924,1
507757292,draftkings,LOL,36610,88198863,LOL $175K Shock Blast [$50K to 1st] (LPL-LCK),7/8/2020,150,13725,15.0,175000.0,2764.0,12731.0,677.05,542.78,1594195200,50000.0,25.0,7/8/2020 4:00,(LPL\/LCK),4,2,"hishboo,shipit33",1
507746700,fanduel,LOL,46780,46780-235560620,$500 Wed LOL Minion Wave (150 Entries Max),7/8/2020,150,11976,0.05,500.0,3600.0,11976.0,654.55,498.95,1594195200,25.0,0.1,7/8/2020 4:00,LCK LPL Main,4,0,"acedfs1,aussiegator66,hotdamngotdamn",1
507849758,draftkings,LOL,36610,88202923,LOL $10K mini-MAX [150 Max Entry] (LPL-LCK),7/8/2020,150,11890,1.0,10000.0,2732.0,11890.0,672.56,542.6,1594195200,1000.0,2.0,7/8/2020 4:00,(LPL\/LCK),4,1,Amackie123,1
507757293,draftkings,LOL,36610,88198864,LOL $30K Elder Dragon [$10K to 1st] (LPL-LCK),7/8/2020,20,8917,4.0,30000.0,1750.0,8917.0,663.05,543.38,1594195200,10000.0,6.0,7/8/2020 4:00,(LPL\/LCK),4,1,hishboo,1
507849781,draftkings,LOL,36610,88202908,LOL $750 Dime Time [Just $0.10!] (LPL-LCK),7/8/2020,20,8917,0.1,750.0,1995.0,8897.0,680.61,527.63,1594195200,75.0,0.2,7/8/2020 4:00,(LPL\/LCK),4,1,ben447,1
507849779,draftkings,LOL,36610,88202909,LOL $1.5K Quarter Jukebox [Just $0.25!] (LPL-LCK),7/8/2020,20,7134,0.25,1500.0,1706.0,7134.0,672.56,525.57,1594195200,100.0,0.5,7/8/2020 4:00,(LPL\/LCK),4,1,Omstorm,1
507746704,fanduel,LOL,46780,46780-235560628,$40K Wed LOL Nexus ($10K to 1st),7/8/2020,150,6802,7.0,40000.0,1564.0,6802.0,659.29,530.24,1594195200,10000.0,14.0,7/8/2020 4:00,LCK LPL Main,4,0,watchout03,1
507849778,draftkings,LOL,36610,88202895,LOL $3K First Blood (LPL-LCK),7/8/2020,20,3567,1.0,3000.0,911.0,3567.0,672.56,526.38,1594195200,300.0,1.5,7/8/2020 4:00,(LPL\/LCK),4,1,Omstorm,1
507746701,fanduel,LOL,46780,46780-235560621,$600 Wed LOL Turret ($0.25 to Enter),7/8/2020,86,2874,0.25,600.0,865.0,2874.0,627.69,510.76,1594195200,30.0,0.5,7/8/2020 4:00,LCK LPL Main,4,0,thecowboys77,1
507849764,draftkings,LOL,36610,88202903,LOL $4K Trident Slash [3 Entry Max] (LPL-LCK),7/8/2020,3,1585,3.0,4000.0,412.0,1585.0,637.13,524.3,1594195200,400.0,5.0,7/8/2020 4:00,(LPL\/LCK),4,1,089Droc,1
507853264,draftkings,LOL,36611,88203324,LOL $300 Quarter Jukebox [Just $0.25!]  (LPL-LCK Late),7/8/2020,20,1426,0.25,300.0,329.0,1413.0,630.98,599.89,1594205400,30.0,0.5,7/8/2020 6:50,(LPL\/LCK Late),2,110,"quantumman29,thepriest31,JoelT8,Hawkeye1992,ursaaawft,Cpeck5446,ggwp,topstocker,Bilko6868,roel2112,DK300783,whatsthespread1,Pete_M,JamesBlond057,nizzle365,kano1477,Danny72170,doff_sploophen,kajdawg2674,inkedjerseyguy,BentleyScrub,jarrodt123,reikojohns1,KronikWizard,thundernuts10,knorton12,lkdogg,JaqaV,Packers101,kennedyjw,KlNGSCAR,actoocool,genise901,irishpapaof3,damian600,Disregard,jartt,BarryBandits,hahaulost,mcmaniacs,AmpUp13,CEH-1300",1
507853267,draftkings,LOL,36611,88203329,LOL $100 Dime Time [Just $0.10!] (LPL-LCK Late),7/8/2020,20,1189,0.1,100.0,277.0,1189.0,630.98,594.85,1594205400,10.0,0.2,7/8/2020 6:50,(LPL\/LCK Late),2,47,"quantumman29,Staggienation,Hawkeye1992,ursaaawft,ggwp,chibear2890,Bilko6868,topstocker,roel2112,Flatliners123,mallows,AcesWayUp,Pete_M,nizzle365,JamesBlond057,sae262201,Danny72170,Emac,inkedjerseyguy,thenicker4,ChristianReiC,jarrodt123,reikojohns1,noahmo2014,chiefstigers,thundernuts10",1
508015668,draftkings,LOL,36611,88219851,LOL $100 Dime Time [Just $0.10!] (LPL-LCK Late),7/8/2020,20,1189,0.1,100.0,277.0,945.0,630.98,593.55,1594205400,10.0,0.2,7/8/2020 6:50,(LPL\/LCK Late),2,76,"thepriest31,noahmo2014,reikojohns1,thundernuts10,Bilko6868,vagabondrogue,lkdogg,mallows,kennedyjw,irishpapaof3,damian600,CEH-1300,Disregard,BTheeck,hazydavy,quantumman29,jartt,drgreen22,nizzle365,loganrandolph89",1
507853256,draftkings,LOL,36611,88203332,LOL $8K Skill Shot [$2K to 1st] (LPL-LCK Late),7/8/2020,35,1176,8.0,8000.0,265.0,1033.0,630.98,584.35,1594205400,2000.0,12.0,7/8/2020 6:50,(LPL\/LCK Late),2,41,"ggwp,dirtlegs,Sef0r,soria1511,unclesleepy,russb813,ItHurtzSoBad,werewolvesoflondon,travmorales08,thomasgore,vagabondrogue,pshizirungu100,oohhitzstatic,genise901,itsrodney,seanyfitness55,yournamee,gidkipro87,football1825,flyshxtonly35,hoff84,portugish,damian600,justin_dilascio,jartt,JShySmooth,LionKing1957,evananna1,rjfmiranda,inkedjerseyguy,bmglass100,johnnykashzo,CINDICA,joetheplumber1222,slayton16,Amackie123,gl249,bilema39,RogueKing",1
507746697,fanduel,LOL,46780,46780-235560624,$2K Wed LOL Teamfight (5 Entries Max),7/8/2020,5,793,3.0,2000.0,200.0,793.0,640.93,510.76,1594195200,200.0,6.0,7/8/2020 4:00,LCK LPL Main,4,0,giantsquid,1
507849774,draftkings,LOL,36610,88202902,LOL $3K Solo Fight [Single Entry] (LPL-LCK),7/8/2020,1,713,5.0,3000.0,164.0,713.0,654.45,525.57,1594195200,400.0,10.0,7/8/2020 4:00,(LPL\/LCK),4,1,jzachri,1
508032617,draftkings,LOL,36610,88221636,LOL $150 Quarter Jukebox [Just $0.25!] (LPL-LCK),7/8/2020,20,713,0.25,150.0,171.0,713.0,661.57,535.59,1594195200,15.0,0.5,7/8/2020 4:00,(LPL\/LCK),4,1,rockfool,1
507853114,draftkings,LOL,36610,88202926,LOL $25.2K Bounty Hunter [$5K to 1st] (LPL-LCK),7/8/2020,20,667,44.0,25200.0,143.0,667.0,649.87,568.34,1594195200,5000.0,70.0,7/8/2020 4:00,(LPL\/LCK),4,1,Kontagious1911,1
507849782,draftkings,LOL,36610,88202900,LOL $500 Daily Dollar [Single Entry] (LPL-LCK),7/8/2020,1,594,1.0,500.0,136.0,594.0,634.2,528.79,1594195200,50.0,1.5,7/8/2020 4:00,(LPL\/LCK),4,1,JLR1985,1
507853260,draftkings,LOL,36611,88203322,LOL $500 First Blood (LPL-LCK Late),7/8/2020,17,594,1.0,500.0,136.0,594.0,630.98,598.25,1594205400,50.0,1.5,7/8/2020 6:50,(LPL\/LCK Late),2,29,"quantumman29,Youngsplurge,ursaaawft,ggwp,topstocker,roel2112,Pete_M,nizzle365,IrishBuckeye1,reikojohns1,DJJovanFlow,thundernuts10,vagabondrogue,axis99,scarder,irishpapaof3,legendsofLambeau,damian600,Disregard,CoachMoobear,mcmaniacs,jartt,Packers101",1
508043579,draftkings,LOL,36610,88222505,LOL $50 Dime Time [Just $0.10!] (LPL-LCK),7/8/2020,17,594,0.1,50.0,137.0,592.0,632.34,543.29,1594195200,5.0,0.2,7/8/2020 4:00,(LPL\/LCK),4,1,herbdean13,1
507849783,draftkings,LOL,36610,88202897,LOL $2 Double Up (LPL-LCK),7/8/2020,17,574,2.0,1000.0,250.0,574.0,588.55,484.56,1594195200,4.0,4.0,7/8/2020 4:00,(LPL\/LCK),4,2,jaygenz4,1
507849785,draftkings,LOL,36610,88202898,LOL $2 Double Up (LPL-LCK),7/8/2020,17,574,2.0,1000.0,250.0,574.0,630.17,485.64,1594195200,4.0,4.0,7/8/2020 4:00,(LPL\/LCK),4,1,DaSauseeee,1
507853111,draftkings,LOL,36610,88202917,LOL $200K Fourceful Blow [$50K to 1st] (LPL-LCK),7/8/2020,15,500,444.0,200000.0,102.0,420.0,641.73,571.35,1594195200,50000.0,700.0,7/8/2020 4:00,(LPL\/LCK),4,1,ThatStunna,1
507746703,fanduel,LOL,46780,46780-235560622,$400 Wed LOL Tower Dive (Single Entry),7/8/2020,1,476,1.0,400.0,118.0,476.0,619.63,506.39,1594195200,40.0,2.0,7/8/2020 4:00,LCK LPL Main,4,0,chakamalik,1
507849819,draftkings,LOL,36610,88203167,LOL SUPERSat to Fantasy Golf Millionaire [2x] (LPL-LCK),7/8/2020,14,475,0.1,40.0,2.0,475.0,633.91,632.34,1594195200,20.0,20.0,7/8/2020 4:00,(LPL\/LCK),4,1,sploush,1
507849820,draftkings,LOL,36610,88203166,LOL SUPERSat to Fantasy Golf Millionaire [2x] (LPL-LCK),7/8/2020,14,475,0.1,40.0,2.0,475.0,637.47,634.47,1594195200,20.0,20.0,7/8/2020 4:00,(LPL\/LCK),4,1,sploush,1
508003693,draftkings,LOL,36610,88219347,LOL SUPERSat to Fantasy Golf Millionaire [2x] (LPL-LCK),7/8/2020,14,475,0.1,40.0,2.0,475.0,637.13,629.57,1594195200,20.0,20.0,7/8/2020 4:00,(LPL\/LCK),4,1,089Droc,1
508015503,draftkings,LOL,36610,88219871,LOL SUPERSat to Fantasy Golf Millionaire [2x] (LPL-LCK),7/8/2020,14,475,0.1,40.0,2.0,475.0,641.73,637.13,1594195200,20.0,20.0,7/8/2020 4:00,(LPL\/LCK),4,1,eagsixcards,1
507849766,draftkings,LOL,36610,88202906,LOL Single Entry $5 Double Up (LPL-LCK),7/8/2020,1,459,5.0,2000.0,200.0,459.0,616.98,476.55,1594195200,10.0,10.0,7/8/2020 4:00,(LPL\/LCK),4,1,brewcrew44,1
507849776,draftkings,LOL,36610,88202921,LOL $3K Triple Combo [3 Entry Max] (LPL-LCK),7/8/2020,3,441,8.0,3000.0,108.0,441.0,654.45,537.54,1594195200,500.0,12.0,7/8/2020 4:00,(LPL\/LCK),4,1,jzachri,1
507746699,fanduel,LOL,46780,46780-235562666,$1K LOL Small Nexus,7/8/2020,11,396,3.0,1000.0,88.0,396.0,648.25,520.97,1594195200,100.0,5.0,7/8/2020 4:00,LCK LPL Main,4,0,giantsquid,1
508024524,fanduel,LOL,46780,46780-235567527,$1K LOL Small Nexus,7/8/2020,11,396,3.0,1000.0,88.0,396.0,648.25,524.48,1594195200,100.0,5.0,7/8/2020 4:00,LCK LPL Main,4,0,giantsquid,1
507849763,draftkings,LOL,36610,88202911,LOL $4K Solo Kill [Single Entry] (LPL-LCK),7/8/2020,1,392,12.0,4000.0,87.0,392.0,632.34,541.52,1594195200,400.0,24.0,7/8/2020 4:00,(LPL\/LCK),4,1,herbdean13,1
507746696,fanduel,LOL,46780,46780-235560623,$600 Wed LOL Super Minion (Single Entry),7/8/2020,1,357,2.0,600.0,86.0,357.0,623.69,512.81,1594195200,60.0,4.0,7/8/2020 4:00,LCK LPL Main,4,0,pimps247,1
507849817,draftkings,LOL,36610,88203169,LOL SUPERSat to $2.25M MMA Island Millionaire [2x] (LPL-LCK),7/8/2020,7,237,0.25,50.0,2.0,237.0,641.73,623.01,1594195200,2.26,2.26,7/8/2020 4:00,(LPL\/LCK),4,1,RandyScores,1
507849818,draftkings,LOL,36610,88203168,LOL SUPERSat to $2.25M MMA Island Millionaire [2x] (LPL-LCK),7/8/2020,7,237,0.25,50.0,2.0,237.0,632.34,613.09,1594195200,2.26,2.26,7/8/2020 4:00,(LPL\/LCK),4,1,thedocd,1
507853258,draftkings,LOL,36611,88203325,LOL $600 Critical Strike (LPL-LCK Late),7/8/2020,7,237,3.0,600.0,54.0,183.0,630.98,565.79,1594205400,60.0,6.0,7/8/2020 6:50,(LPL\/LCK Late),2,11,"shrek09,topstocker,lxumo,dlns,DeeMarie26,bfrazierd7,thundernuts10,rjenchowski123,vagabondrogue,irishpapaof3,damian600",1
507921402,draftkings,LOL,36610,88213490,LOL SUPERSat to NBA $3M Return Millionaire [5x] (LPL-),7/8/2020,7,237,0.1,20.0,5.0,237.0,632.34,606.89,1594195200,3730.0,3730.0,7/8/2020 4:00,(LPL\/LCK),4,1,thedocd,1
508003691,draftkings,LOL,36610,88219452,LOL SUPERSat to $2.25M MMA Island Millionaire [2x] (LPL-LCK),7/8/2020,7,237,0.25,50.0,2.0,237.0,607.52,607.52,1594195200,2.26,2.26,7/8/2020 4:00,(LPL\/LCK),4,2,"kngof9ex,nvanhare",1
508003692,draftkings,LOL,36610,88219451,LOL SUPERSat to $2.25M MMA Island Millionaire [2x] (LPL-LCK),7/8/2020,7,237,0.25,50.0,2.0,237.0,637.13,629.57,1594195200,2.26,2.26,7/8/2020 4:00,(LPL\/LCK),4,1,089Droc,1
507849768,draftkings,LOL,36610,88202896,LOL $5 Double Up (LPL-LCK),7/8/2020,6,229,5.0,1000.0,100.0,229.0,588.55,485.64,1594195200,10.0,10.0,7/8/2020 4:00,(LPL\/LCK),4,1,Durrrrfan24,1
507849787,draftkings,LOL,36610,88202905,LOL Single Entry $5 Double Up (LPL-LCK),7/8/2020,1,229,5.0,1000.0,100.0,229.0,629.57,476.05,1594195200,10.0,10.0,7/8/2020 4:00,(LPL\/LCK),4,1,Theblender,1
507974880,draftkings,LOL,36610,88217822,LOL Single Entry $5 Double Up (LPL-LCK),7/8/2020,1,229,5.0,1000.0,100.0,229.0,601.23,481.58,1594195200,10.0,10.0,7/8/2020 4:00,(LPL\/LCK),4,2,"recoverrocks,bobbytosh91",1
508009229,draftkings,LOL,36610,88219475,LOL $2 Double Up (LPL-LCK),7/8/2020,6,229,2.0,400.0,100.0,229.0,630.17,480.05,1594195200,4.0,4.0,7/8/2020 4:00,(LPL\/LCK),4,1,ssmillz,1
507746706,fanduel,LOL,46780,46780-235560630,$6K Wed LOL Elder Drake ($1K to 1st),7/8/2020,6,213,33.0,6000.0,49.0,213.0,655.33,530.66,1594195200,1000.0,60.0,7/8/2020 4:00,LCK LPL Main,4,0,giantsquid,1
507849767,draftkings,LOL,36610,88202912,LOL Single Entry $25 Double Up (LPL-LCK),7/8/2020,1,183,25.0,4000.0,80.0,183.0,605.21,464.09,1594195200,50.0,50.0,7/8/2020 4:00,(LPL\/LCK),4,1,arktoris,1
507853265,draftkings,LOL,36611,88203323,LOL $150 Daily Dollar [Single Entry] (LPL-LCK Late),7/8/2020,1,178,1.0,150.0,42.0,150.0,630.98,589.62,1594205400,30.0,1.5,7/8/2020 6:50,(LPL\/LCK Late),2,9,"topstocker,jerseyboy0724,Pete_M,Jdoorz,thundernuts10,kreb24,vagabondrogue,irishpapaof3,damian600",1
507849775,draftkings,LOL,36610,88202910,LOL $3K Triple Kill [3 Entry Max] (LPL-LCK),7/8/2020,3,176,20.0,3000.0,39.0,176.0,632.34,572.59,1594195200,350.0,40.0,7/8/2020 4:00,(LPL\/LCK),4,1,herbdean13,1
507849765,draftkings,LOL,36610,88202922,LOL $4K Single-Target [Single Entry] (LPL-LCK),7/8/2020,1,172,27.0,4000.0,30.0,172.0,632.34,565.84,1594195200,800.0,50.0,7/8/2020 4:00,(LPL\/LCK),4,1,herbdean13,1
508003656,draftkings,LOL,36610,88219219,LOL Single Entry $5 Double Up (LPL-LCK),7/8/2020,1,172,5.0,750.0,75.0,172.0,601.23,493.56,1594195200,10.0,10.0,7/8/2020 4:00,(LPL\/LCK),4,1,gotti7707,1
507746705,fanduel,LOL,46780,46780-235560629,$1.5K Wed LOL Inhibitor (3 Entries Max),7/8/2020,3,148,12.0,1500.0,35.0,148.0,655.33,510.76,1594195200,250.0,25.0,7/8/2020 4:00,LCK LPL Main,4,0,giantsquid,1
507853115,draftkings,LOL,36610,88202920,LOL $20K Curtain Call [3 Entry Max] (LPL-LCK),7/8/2020,3,148,150.0,20000.0,32.0,148.0,632.34,572.59,1594195200,5000.0,250.0,7/8/2020 4:00,(LPL\/LCK),4,1,meandewd,1
508003644,draftkings,LOL,36610,88219441,LOL $1K Triple Combo [3 Entry Max] (LPL-LCK),7/8/2020,3,147,8.0,1000.0,39.0,130.0,616.38,524.31,1594195200,100.0,12.0,7/8/2020 4:00,(LPL\/LCK),4,1,soodles,1
507746698,fanduel,LOL,46780,46780-235560626,$600 Wed LOL Pentakill (Single Entry),7/8/2020,1,142,5.0,600.0,35.0,142.0,619.63,504.15,1594195200,100.0,10.0,7/8/2020 4:00,LCK LPL Main,4,0,chakamalik,1
507849773,draftkings,LOL,36610,88202936,LOL $150K King of the Rift Qualifier #21 (LPL-LCK),7/8/2020,4,136,15.0,1735.0,10.0,136.0,623.01,588.55,1594195200,150.0,15.0,7/8/2020 4:00,(LPL\/LCK),4,1,michaelmcc29,1
507849811,draftkings,LOL,36610,88203181,LOL Satellite to NBA $3M Millionaire (LPL-LCK),7/8/2020,3,118,0.25,25.0,1.0,118.0,632.34,632.34,1594195200,3731.0,3731.0,7/8/2020 4:00,(LPL\/LCK),4,1,thedocd,1
507849812,draftkings,LOL,36610,88203180,LOL Satellite to NBA $3M Millionaire (LPL-LCK),7/8/2020,3,118,0.25,25.0,1.0,118.0,632.34,632.34,1594195200,3731.0,3731.0,7/8/2020 4:00,(LPL\/LCK),4,1,thedocd,1
507849823,draftkings,LOL,36610,88203165,LOL $1 Contest [3 Entry Max] (LPL-LCK),7/8/2020,3,118,1.0,100.0,27.0,118.0,606.67,569.03,1594195200,12.0,2.0,7/8/2020 4:00,(LPL\/LCK),4,1,maikodfs,1
507921389,draftkings,LOL,36610,88213491,LOL SUPERSat to NBA $3M Return Millionaire [25x] (LPL-),7/8/2020,3,118,1.0,100.0,25.0,118.0,596.89,535.46,1594195200,3730.0,3730.0,7/8/2020 4:00,(LPL\/LCK),4,1,balling_ntha_parks,1
507989107,draftkings,LOL,36610,88218470,LOL Satellite to NBA $3M Millionaire (LPL-LCK),7/8/2020,3,118,0.25,25.0,1.0,118.0,603.85,603.85,1594195200,3731.0,3731.0,7/8/2020 4:00,(LPL\/LCK),4,1,Dotrat2,1
508003686,draftkings,LOL,36610,88219291,LOL Satellite to NBA $3M Millionaire (LPL-LCK),7/8/2020,3,118,0.25,25.0,1.0,118.0,633.53,633.53,1594195200,3731.0,3731.0,7/8/2020 4:00,(LPL\/LCK),4,1,BillyVonElds,1
508032593,draftkings,LOL,36610,88221898,LOL $300 Trident Slash [3 Entry Max] (LPL-LCK),7/8/2020,3,118,3.0,300.0,31.0,118.0,637.35,528.6,1594195200,45.0,4.5,7/8/2020 4:00,(LPL\/LCK),4,1,ChiefsKingdom25,1
508032621,draftkings,LOL,36610,88221369,LOL $100 Daily Dollar [Single Entry] (LPL-LCK),7/8/2020,1,118,1.0,100.0,27.0,118.0,632.34,525.57,1594195200,12.0,2.0,7/8/2020 4:00,(LPL\/LCK),4,1,ecash1858,1
507849784,draftkings,LOL,36610,88202914,LOL Single Entry $10 Double Up (LPL-LCK),7/8/2020,1,114,10.0,1000.0,50.0,114.0,588.55,476.05,1594195200,20.0,20.0,7/8/2020 4:00,(LPL\/LCK),4,1,Durrrrfan24,1
507849788,draftkings,LOL,36610,88202915,LOL Single Entry $10 Double Up (LPL-LCK),7/8/2020,1,114,10.0,1000.0,50.0,114.0,588.55,476.05,1594195200,20.0,20.0,7/8/2020 4:00,(LPL\/LCK),4,1,Durrrrfan24,1
507849789,draftkings,LOL,36610,88202916,LOL $10 Double Up (LPL-LCK),7/8/2020,3,114,10.0,1000.0,50.0,114.0,588.55,485.64,1594195200,20.0,20.0,7/8/2020 4:00,(LPL\/LCK),4,2,"Durrrrfan24,jbb6762",1
507965554,draftkings,LOL,36610,88217112,LOL Single Entry $10 Double Up (LPL-LCK),7/8/2020,1,114,10.0,1000.0,50.0,114.0,598.13,476.05,1594195200,20.0,20.0,7/8/2020 4:00,(LPL\/LCK),4,1,steamboatwilly,1
507969857,draftkings,LOL,36610,88217242,LOL Single Entry $10 Double Up (LPL-LCK),7/8/2020,1,114,10.0,1000.0,50.0,114.0,601.23,467.71,1594195200,20.0,20.0,7/8/2020 4:00,(LPL\/LCK),4,2,"recoverrocks,bobbytosh91",1
507746702,fanduel,LOL,46780,46780-235562667,$100 LOL Rift Herald (No Experienced Players),7/8/2020,3,110,1.0,100.0,30.0,86.0,615.41,494.05,1594195200,12.0,2.0,7/8/2020 4:00,LCK LPL Main,4,0,rlarose14,1
507849790,draftkings,LOL,36610,88202933,LOL $400K Summoner's Hex Satellite (7-15) (LPL-LCK),7/8/2020,3,100,7.0,600.0,1.0,100.0,629.68,629.68,1594195200,400715.0,400715.0,7/8/2020 4:00,(LPL\/LCK),4,1,jbarrett_16,1
507849791,draftkings,LOL,36610,88202934,LOL $400K Summoner's Hex Satellite (7-15) (LPL-LCK),7/8/2020,3,100,7.0,600.0,1.0,100.0,655.51,655.51,1594195200,400715.0,400715.0,7/8/2020 4:00,(LPL\/LCK),4,1,riordanosu,1
507746676,fanduel,LOL,46780,46780-235562671,$150 LOL Triple Up ($2),7/8/2020,1,85,2.0,150.0,25.0,85.0,603.43,494.05,1594195200,6.0,6.0,7/8/2020 4:00,LCK LPL Main,4,0,avalanche2025,1
507746677,fanduel,LOL,46780,46780-235562670,$250 LOL Double Up ($5),7/8/2020,1,56,5.0,250.0,25.0,56.0,603.43,469.57,1594195200,10.0,10.0,7/8/2020 4:00,LCK LPL Main,4,0,"jesus752,avalanche2025",1
507746678,fanduel,LOL,46780,46780-235562668,$100 LOL Double Up ($2),7/8/2020,1,56,2.0,100.0,25.0,56.0,603.43,459.53,1594195200,4.0,4.0,7/8/2020 4:00,LCK LPL Main,4,0,avalanche2025,1
507765598,fanduel,LOL,46780,46780-235562669,$100 LOL Double Up ($2),7/8/2020,1,56,2.0,100.0,25.0,56.0,601.25,463.39,1594195200,4.0,4.0,7/8/2020 4:00,LCK LPL Main,4,0,"ccrush,mkw131989",1
508007420,fanduel,LOL,46780,46780-235567416,$250 LOL Double Up ($5),7/8/2020,1,56,5.0,250.0,25.0,56.0,603.43,459.53,1594195200,10.0,10.0,7/8/2020 4:00,LCK LPL Main,4,0,"jesus752,avalanche2025",1
508007422,fanduel,LOL,46780,46780-235567039,$100 LOL Double Up ($2),7/8/2020,1,56,2.0,100.0,25.0,56.0,601.25,467.03,1594195200,4.0,4.0,7/8/2020 4:00,LCK LPL Main,4,0,"aa723717,dtlantzy,witherow8",1
508007423,fanduel,LOL,46780,46780-235567179,$100 LOL Double Up ($2),7/8/2020,1,56,2.0,100.0,25.0,56.0,601.25,469.31,1594195200,4.0,4.0,7/8/2020 4:00,LCK LPL Main,4,0,"rdrfn4lf,aa723717,dtlantzy,witherow8",1
508041751,fanduel,LOL,46780,46780-235566421,$250 LOL Double Up ($5),7/8/2020,1,56,5.0,250.0,25.0,56.0,603.43,491.05,1594195200,10.0,10.0,7/8/2020 4:00,LCK LPL Main,4,0,jesus752,1
507746691,fanduel,LOL,46780,46780-235562643,50\/50 Contest ($1 - Top 50% Win),7/8/2020,1,50,1.0,45.0,25.0,50.0,522.03,490.78,1594195200,1.8,1.8,7/8/2020 4:00,LCK LPL Main,4,0,"taylortayl26,tgs82",1
508007440,fanduel,LOL,46780,46780-235566808,50\/50 Contest ($1 - Top 50% Win),7/8/2020,1,50,1.0,45.0,25.0,50.0,562.75,459.53,1594195200,1.8,1.8,7/8/2020 4:00,LCK LPL Main,4,0,nepats1345,1
507746675,fanduel,LOL,46780,46780-235562672,$300 LOL Double Up ($10),7/8/2020,1,34,10.0,300.0,15.0,34.0,603.43,459.53,1594195200,20.0,20.0,7/8/2020 4:00,LCK LPL Main,4,0,jesus752,1
508007421,fanduel,LOL,46780,46780-235566863,$300 LOL Double Up ($10),7/8/2020,1,34,10.0,300.0,15.0,34.0,603.43,490.78,1594195200,20.0,20.0,7/8/2020 4:00,LCK LPL Main,4,0,jesus752,1
507746708,fanduel,LOL,46780,46780-235560633,$7.5K Wed LOL Monster,7/8/2020,1,25,333.0,7500.0,6.0,25.0,601.25,510.76,1594195200,2500.0,750.0,7/8/2020 4:00,LCK LPL Main,4,0,fanduelbrainlet69,1
507746644,fanduel,LOL,46780,46780-235562630,20-Player Contest ($2 - Top 3 Win),7/8/2020,1,20,2.0,36.0,3.0,20.0,513.43,510.76,1594195200,20.0,6.0,7/8/2020 4:00,LCK LPL Main,4,0,wrestlingforlife1971,1
507746661,fanduel,LOL,46780,46780-235562628,20-Player Contest ($1 - Top 3 Win),7/8/2020,1,20,1.0,18.0,3.0,20.0,517.15,499.84,1594195200,10.0,3.0,7/8/2020 4:00,LCK LPL Main,4,0,nraunaag,1
507746682,fanduel,LOL,46780,46780-235562652,50\/50 Contest ($10 - Top 50% Win),7/8/2020,1,20,10.0,180.0,10.0,20.0,603.43,490.78,1594195200,18.0,18.0,7/8/2020 4:00,LCK LPL Main,4,0,jesus752,1
507746685,fanduel,LOL,46780,46780-235562648,50\/50 Contest ($5 - Top 50% Win),7/8/2020,1,20,5.0,90.0,10.0,20.0,601.25,459.53,1594195200,9.0,9.0,7/8/2020 4:00,LCK LPL Main,4,0,ccrush,1
507746688,fanduel,LOL,46780,46780-235562639,50\/50 Contest ($1 - Top 50% Win),7/8/2020,1,20,1.0,18.0,10.0,20.0,511.63,459.53,1594195200,1.8,1.8,7/8/2020 4:00,LCK LPL Main,4,0,snajuice,1
507746689,fanduel,LOL,46780,46780-235562644,50\/50 Contest ($2 - Top 50% Win),7/8/2020,1,20,2.0,36.0,10.0,20.0,510.76,459.53,1594195200,3.6,3.6,7/8/2020 4:00,LCK LPL Main,4,0,nightswatch34,1
508007371,fanduel,LOL,46780,46780-235562629,20-Player Contest ($1 - Top 3 Win),7/8/2020,1,20,1.0,18.0,3.0,20.0,601.25,515.43,1594195200,10.0,3.0,7/8/2020 4:00,LCK LPL Main,4,0,"rdrfn4lf,archerwon22",1
508007425,fanduel,LOL,46780,46780-235567396,50\/50 Contest ($2 - Top 50% Win),7/8/2020,1,20,2.0,36.0,10.0,20.0,556.54,489.41,1594195200,3.6,3.6,7/8/2020 4:00,LCK LPL Main,4,0,notscwill,1
508007426,fanduel,LOL,46780,46780-235567253,50\/50 Contest ($1 - Top 50% Win),7/8/2020,1,20,1.0,18.0,10.0,20.0,556.54,458.52,1594195200,1.8,1.8,7/8/2020 4:00,LCK LPL Main,4,0,notscwill,1
508007427,fanduel,LOL,46780,46780-235567171,50\/50 Contest ($2 - Top 50% Win),7/8/2020,1,20,2.0,36.0,10.0,20.0,556.54,458.52,1594195200,3.6,3.6,7/8/2020 4:00,LCK LPL Main,4,0,notscwill,1
508007430,fanduel,LOL,46780,46780-235566920,50\/50 Contest ($5 - Top 50% Win),7/8/2020,1,20,5.0,90.0,10.0,20.0,601.25,458.52,1594195200,9.0,9.0,7/8/2020 4:00,LCK LPL Main,4,0,sdballbusters,1
508007431,fanduel,LOL,46780,46780-235567437,50\/50 Contest ($1 - Top 50% Win),7/8/2020,1,20,1.0,18.0,10.0,20.0,556.54,458.52,1594195200,1.8,1.8,7/8/2020 4:00,LCK LPL Main,4,0,notscwill,1
508007435,fanduel,LOL,46780,46780-235566960,50\/50 Contest ($1 - Top 50% Win),7/8/2020,1,20,1.0,18.0,10.0,20.0,556.54,492.15,1594195200,1.8,1.8,7/8/2020 4:00,LCK LPL Main,4,0,notscwill,1
